gmina id,gmina name,latitude,longitude,avg income,% PiS Votes,registered voters,ballots counted,powiat,wojewodztwo
3213021,S?awno,54.36609948,16.66580176,705,34.85824742,9756,4656,s?awie?ski,zachodniopomorskie
3002083,Wiele?,52.88798974,16.24098098,570,25.89519651,9744,4580,czarnkowsko-trzcianecki,wielkopolskie
2809053,Orneta,54.14402702,20.13219605,441,29.5679568,9734,4444,lidzbarski,warmi?sko-mazurskie
3207063,Wolin,53.87098991,14.66360263,534,24.70563499,9729,4756,kamie?ski,zachodniopomorskie
3021033,Buk,52.33952133,16.55347699,862,26.11196319,9725,5216,pozna?ski,wielkopolskie
3010013,Golina,52.24223524,18.09816963,725,39.46206343,9723,4982,koni?ski,wielkopolskie
811102,?ary,51.64577805,15.11175926,783,31.17237953,9702,4026,?arski,lubuskie
3029022,Siedlec,52.15500759,15.97701761,787,22.77184572,9690,4589,wolszty?ski,wielkopolskie
3024063,Pniewy,52.5457073,16.31550086,835,26.15835777,9674,5115,szamotulski,wielkopolskie
2612053,Po?aniec,50.44069366,21.27791467,762,47.4792942,9672,5554,staszowski,?wi?tokrzyskie
2413072,?wierklaniec,50.44149363,18.93483196,1333,30.58213716,9654,5016,tarnog¢rski,?l?skie
